id,relayid,sensorid,update_time,processed_status,start_index,end_index,index_len,width,peakvalue,other_peak,other_var
129,2,7,2017/07/18 16:08:06,0,96,323,3,163,8926,6742,837
130,2,7,2017/07/18 16:08:10,0,96,403,4,283,8092,4320,784
131,2,7,2017/07/18 16:08:13,0,96,415,2,287,5679,2044,278
132,2,7,2017/07/18 16:08:17,0,95,364,2,244,8355,2771,576
133,2,7,2017/07/18 16:08:21,0,95,326,2,199,4822,3121,476
134,2,7,2017/07/18 16:08:25,0,96,314,2,187,5377,1610,303
135,2,7,2017/07/18 16:08:29,0,95,318,2,157,12863,5342,870
136,2,7,2017/07/18 16:08:32,0,96,227,2,85,8893,4735,763
137,2,7,2017/07/18 16:08:36,0,95,234,2,98,8876,2353,656
138,2,7,2017/07/18 16:08:40,0,95,255,2,106,7980,3304,650
139,2,7,2017/07/18 16:08:44,0,96,206,2,49,15246,6663,1008
140,2,7,2017/07/18 16:08:48,0,95,319,2,163,15190,8720,1169
141,2,7,2017/07/18 16:08:52,0,96,384,3,262,5888,4697,746
142,2,7,2017/07/18 16:08:55,0,96,481,2,369,4559,1611,577
143,2,7,2017/07/18 16:08:59,0,96,281,2,121,10370,6605,860
144,2,7,2017/07/18 16:09:03,0,95,216,2,77,11571,3848,855
145,2,7,2017/07/18 16:09:07,0,94,268,2,127,6637,4898,748
146,2,7,2017/07/18 16:09:11,0,95,245,2,125,6191,2710,422
147,2,7,2017/07/18 16:09:14,0,96,324,2,161,11307,5997,902
148,2,7,2017/07/18 16:09:18,0,96,268,2,120,15753,6453,943
149,2,7,2017/07/18 16:09:22,0,95,307,2,173,8113,3184,691
150,2,7,2017/07/18 16:09:26,0,95,410,4,278,5500,2211,567
151,2,7,2017/07/18 16:09:30,0,97,393,3,287,3495,2892,755
152,2,7,2017/07/18 16:09:33,0,95,390,2,267,4685,2670,500
153,2,7,2017/07/18 16:09:37,0,95,299,2,155,19032,6582,1016
154,2,7,2017/07/18 16:09:41,0,95,270,2,97,11689,10094,942
155,2,7,2017/07/18 16:09:45,0,94,314,2,162,7753,4827,773
156,2,7,2017/07/18 16:09:49,0,95,307,2,117,9587,6482,906
157,2,7,2017/07/18 16:09:53,0,95,289,2,159,7572,2813,635
158,2,7,2017/07/18 16:09:56,0,95,273,2,146,7558,2905,647
159,2,7,2017/07/18 16:10:00,0,95,245,2,75,16547,7791,1003
160,2,7,2017/07/18 16:10:04,0,96,246,2,94,14362,7489,1134
161,2,7,2017/07/18 16:10:08,0,95,495,2,338,21095,8750,1026
162,2,7,2017/07/18 16:10:12,0,95,253,2,101,15499,6071,1082
163,2,7,2017/07/18 16:10:15,0,96,341,2,181,8268,5596,853
164,2,7,2017/07/18 16:10:19,0,96,272,2,136,5855,4936,820
165,2,7,2017/07/18 16:10:23,0,96,339,2,169,8802,5880,818
166,2,7,2017/07/18 16:10:27,0,96,374,4,255,10386,6805,893
167,2,7,2017/07/18 16:10:31,0,95,288,3,176,2703,1135,273
168,2,7,2017/07/18 16:10:34,0,96,208,2,73,8659,4645,793
169,2,7,2017/07/18 16:10:38,0,96,231,2,81,20139,9139,1288
170,2,7,2017/07/18 16:10:42,0,96,315,2,177,8979,9781,926
171,2,7,2017/07/18 16:10:46,0,96,303,2,141,12752,5499,989
172,2,7,2017/07/18 16:10:50,0,95,256,2,112,8848,3503,764
173,2,7,2017/07/18 16:10:53,0,95,270,2,131,4930,4791,659
174,2,7,2017/07/18 16:10:57,0,96,306,2,153,13692,5437,927
175,2,7,2017/07/18 16:11:01,0,95,388,2,237,7025,2647,506
176,2,7,2017/07/18 16:11:05,0,96,328,2,197,3767,1646,226
177,2,7,2017/07/18 16:11:09,0,96,282,2,105,11695,9413,1008
178,2,7,2017/07/18 16:11:13,0,93,307,2,147,7107,7219,782
179,2,7,2017/07/18 16:11:16,0,93,331,2,166,5603,8418,870
180,2,7,2017/07/18 16:11:20,0,94,311,2,157,6232,7350,786
181,2,7,2017/07/18 16:11:24,0,96,308,2,176,5796,2733,362
182,2,7,2017/07/18 16:11:28,0,95,302,2,144,10896,4759,900
183,2,7,2017/07/18 16:11:32,0,95,286,4,169,4015,1615,278
184,2,7,2017/07/18 16:11:35,0,95,270,2,123,14539,5352,957
185,2,7,2017/07/18 16:11:39,0,96,287,2,168,4032,1385,183
186,2,7,2017/07/18 16:11:43,0,95,234,2,99,9290,3453,844
187,2,7,2017/07/18 16:11:47,0,96,279,2,130,7578,6312,843
188,2,7,2017/07/18 16:11:51,0,96,307,2,163,12126,4010,872
189,2,7,2017/07/18 16:11:54,0,96,252,2,113,9065,4284,747
190,2,7,2017/07/18 16:11:58,0,96,254,2,125,6604,2719,579
