time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:46:02.077,-51,-72,3918,-140,-29,-28
2017-01-13_14:46:02.081,-42,-67,3920,-90,-40,-11
2017-01-13_14:46:02.084,-59,-75,3915,-95,-43,-37
2017-01-13_14:46:02.088,-28,-48,3906,-87,-22,-2
2017-01-13_14:46:02.092,-49,-69,3928,-89,-28,-12
2017-01-13_14:46:02.095,-16,-75,3932,-113,-40,-5
2017-01-13_14:46:02.099,-30,-41,3926,-105,-18,-21
2017-01-13_14:46:02.102,-27,-67,3925,-109,-38,-2
2017-01-13_14:46:02.106,-35,-85,3934,-94,-15,-16
2017-01-13_14:46:02.109,-34,-65,3921,-81,-30,-24
2017-01-13_14:46:02.113,-74,-48,3917,-75,-27,-31
2017-01-13_14:46:02.117,-24,-71,3958,-109,-35,228
2017-01-13_14:46:02.120,-64,-72,3930,-122,-23,-9
2017-01-13_14:46:02.124,-37,-70,3914,-136,-28,-33
2017-01-13_14:46:02.127,-45,-69,3959,-104,-20,-34
2017-01-13_14:46:02.131,-46,-61,3960,-88,-21,-4
2017-01-13_14:46:02.134,-48,-59,3916,-71,-22,224
2017-01-13_14:46:02.138,-42,-66,3934,-88,-40,-31
2017-01-13_14:46:02.142,-33,-72,3916,-133,-34,-32
2017-01-13_14:46:02.145,-19,-64,3922,-108,-29,186
2017-01-13_14:46:02.149,-30,-73,3912,-98,-47,-254
2017-01-13_14:46:02.152,-57,-73,3914,-82,-42,-9
2017-01-13_14:46:02.156,-57,-82,3913,-74,-30,-23
2017-01-13_14:46:02.160,-66,-57,3925,-121,-45,-28
2017-01-13_14:46:02.164,-4,-79,3917,-118,-15,-32
2017-01-13_14:46:03.410,-29,-80,3946,-101,-39,-32
2017-01-13_14:46:03.414,-40,-81,3922,-126,-12,-22
2017-01-13_14:46:03.418,-34,-69,3916,-127,-50,-21
2017-01-13_14:46:03.421,-49,-69,3914,-106,-18,-27
2017-01-13_14:46:03.425,7,-62,3908,-79,-39,223
2017-01-13_14:46:03.428,-56,-83,3934,-76,-18,2
2017-01-13_14:46:03.432,-30,-72,3918,-107,-41,-4
2017-01-13_14:46:03.435,-40,-74,3927,-133,-22,-19
2017-01-13_14:46:03.439,-34,-58,3901,-107,-45,-3
2017-01-13_14:46:03.443,-58,-91,3910,-106,-20,-18
2017-01-13_14:46:03.446,-3,-82,3908,-83,-41,-8
2017-01-13_14:46:03.450,-62,-77,3918,-89,-39,-2
2017-01-13_14:46:03.453,-62,-68,3930,-98,-35,-28
2017-01-13_14:46:03.457,-44,-79,3893,-137,-32,-5
2017-01-13_14:46:03.460,-20,-62,3917,-144,-41,213
2017-01-13_14:46:03.464,-33,-83,3908,-110,-40,-18
2017-01-13_14:46:03.468,-22,-78,3930,-79,-27,4
2017-01-13_14:46:03.471,-43,-63,3882,-80,-23,-42
2017-01-13_14:46:03.475,-17,-54,3922,-101,-9,-25
2017-01-13_14:46:03.478,-56,-55,3916,-122,-18,2
2017-01-13_14:46:03.482,-57,-45,3956,-129,-39,-253
2017-01-13_14:46:03.486,-25,-65,3886,-101,-49,-22
2017-01-13_14:46:03.489,-50,-75,3923,-70,-12,-16
2017-01-13_14:46:03.493,-14,-59,3930,-68,-18,-11
2017-01-13_14:46:03.496,-44,-77,3940,-110,-14,-256
2017-01-13_14:46:03.500,-43,-67,3954,-130,-25,-20
2017-01-13_14:46:03.504,-40,-98,3955,-120,-41,-25
2017-01-13_14:46:03.507,-12,-83,3929,-121,-40,-20
2017-01-13_14:46:03.511,-48,-98,3940,-94,-43,-8
2017-01-13_14:46:03.514,-26,-65,3947,-57,-52,-24
2017-01-13_14:46:03.518,-71,-67,3946,-102,-28,-54
2017-01-13_14:46:03.521,-33,-45,3899,-116,-50,-51
2017-01-13_14:46:03.525,-8,-61,3907,-126,-26,-39
2017-01-13_14:46:03.528,-30,-49,3913,-83,-50,-26
2017-01-13_14:46:03.532,-34,-73,3915,-93,-37,-22
2017-01-13_14:46:03.536,-46,-67,3955,-86,-29,-37
2017-01-13_14:46:03.539,-41,-71,3906,-98,-36,-21
2017-01-13_14:46:03.543,-28,-70,3917,-138,-19,-35
2017-01-13_14:46:03.546,-55,-70,3949,-129,-21,-51
2017-01-13_14:46:03.550,-46,-72,3944,-97,-53,-11
2017-01-13_14:46:03.554,-42,-68,3909,-94,-26,-255
2017-01-13_14:46:03.557,-23,-70,3925,-98,-25,-35
2017-01-13_14:46:03.561,-28,-77,3938,-112,-21,-47
2017-01-13_14:46:03.564,-30,-64,3931,-107,-36,-14
2017-01-13_14:46:03.568,-31,-77,3955,-116,-29,-25
2017-01-13_14:46:03.571,-33,-61,3911,-94,-29,-33
2017-01-13_14:46:03.575,-35,-98,3922,-95,-16,-19
2017-01-13_14:46:03.579,-49,-61,3950,-63,-24,-28
2017-01-13_14:46:03.582,-72,-56,3908,-109,-51,-40
2017-01-13_14:46:03.586,-9,-90,3924,-127,-36,-37
